dam_id,kge,kge_r,kge_alpha,kge_beta,rmse_check,n,lake,continent,rmse_val,nse_val,obs_std,rmse_diff
24442,0.9614141844243084,0.9694018133871485,0.9766088562660263,1.0023389173698507,1.2557584615232493,1959,Victoria,Oceania,1.256,0.94,5.11,0.00024153847675068008
22840,0.9807384617219003,0.9878748401511472,0.9902988792076366,0.988603701879538,1.2606030851165617,1335,Winnebago,North America,1.261,0.975,8.04,0.00039691488343818193
22853,0.9807977103813473,0.9879912324976179,0.990314457887698,0.9885672530132442,1.2766469160712883,949,Tenny Park Locks,North America,1.277,0.976,8.18,0.0003530839287115839
180,0.9524110788543603,0.978438151937394,0.9583183956871353,0.9920983554979496,1.2845398408945876,1686,,Africa,1.285,0.956,6.15,0.00046015910541230554
23749,0.9885615580524304,0.9897328628343276,1.0030317497618568,1.00402893807233,1.2966541451262759,1557,Hungtze,Asia,1.297,0.979,9.02,0.00034585487372407187
20636,0.981216467681821,0.9882325378975062,0.9853616553050585,0.9997415689520908,1.2996177890146754,1338,Grenada Lake,North America,1.3,0.977,8.49,0.00038221098532464914
11474,0.9716433088995202,0.9734442778367496,1.0097518954893598,0.9980516455864289,1.3059136471567194,1336,Paduskoye More,Europe,1.306,0.946,5.63,8.635284328062376e-05
16016,0.9793248173302445,0.986187089003685,0.9846243770017442,0.9994931611191433,1.3180489218088653,1309,Ross R. Barnett Reservoir,North America,1.318,0.973,7.96,4.892180886528763e-05
17176,0.962810351427569,0.9874527777129284,0.9800573698427346,1.0287737497770149,1.328360537301553,1708,Potholes,North America,1.328,0.972,7.9,0.0003605373015529434
16790,0.9819257237232614,0.9882418383440764,0.999387791787666,1.0137131432759159,1.3389510263266964,1370,Millwood Lake,North America,1.339,0.976,8.58,4.897367330358726e-05
10240,0.9763433342793642,0.9870312603651227,0.9957608688048315,1.0193256149193453,1.3651335267959168,2356,Qapshaghay Bogeni Reservoir,Asia,1.365,0.973,8.3,0.00013352679591682737
11478,0.9738114586272981,0.9838811466207255,1.009379159051387,0.9816137649189413,1.3767053790310202,1596,Ilmen,Europe,1.377,0.966,7.49,0.0002946209689798085
21301,0.974066206245072,0.9821169428067743,0.9852350370917156,0.9883916498043888,1.3779560956631656,1363,Red Lake Reservoir,North America,1.378,0.964,7.26,4.390433683432171e-05
23504,0.9680151333038812,0.9872631699257582,0.970669583051541,1.000729039681999,1.3788028081540031,2110,Kayrakkumskoye,Asia,1.379,0.974,8.62,0.00019719184599686912
11459,0.9758750876689067,0.9822547083073196,1.0160125720097049,1.0032731567879711,1.3823874207994902,1487,Votkinsk Reservoir,Europe,1.382,0.964,7.25,0.00038742079949027897
20853,0.9668732968819516,0.9839865570624736,0.9712864663492589,1.0040596908805548,1.3900116976445085,2012,Fort Peck,North America,1.39,0.968,7.77,1.1697644508590344e-05
23416,0.9847266227417472,0.9870667156516499,0.9984488698300404,0.992025026392929,1.4041045388043243,1858,Tshchikskoye,Europe,1.404,0.974,8.7,0.00010453880432437224
22784,0.9302921676570725,0.9749409458068569,0.9386766652161843,1.0216950294742109,1.440052518501965,1407,Venustiano Carranza,North America,1.44,0.943,6.02,5.251850196508201e-05
1819,0.9613521295232342,0.9792536363774985,0.9829720820785067,0.9721917943748487,1.4421911124360687,1229,Tobin,North America,1.442,0.956,6.85,0.00019111243606872996
11461,0.9727429648176213,0.9861928981553115,1.022033558476967,0.9918249032772756,1.4552357531548372,2222,Tsimlyanskoye Reservoir,Europe,1.455,0.971,8.56,0.00023575315483714832
11462,0.9714436597688386,0.9781045243540715,0.994305031914117,1.0174246966153553,1.457634609715852,1550,Novosibirskoye,Europe,1.458,0.955,6.87,0.0003653902841480594
2047,0.907952211412137,0.9599655919402355,0.9232935757031401,0.9685967194896732,1.6070010797362675,1462,Grand,North America,1.607,0.919,5.63,1.0797362675063482e-06
11450,0.9419823981820317,0.9469553273358535,0.9767008188256465,0.9969254302306617,1.6281797454233593,1280,Khantayskoye Reservoir,Europe,1.628,0.896,5.04,0.00017974542335941202
23425,0.44976138573421676,0.6623975331395403,0.5656953207872005,1.0129055264413747,1.673602095139309,1313,Yardi,Africa,1.674,0.404,2.17,0.00039790486069102293
358,0.8895766356823792,0.9632598298960897,0.8967213910249899,1.013304443473694,1.7043660382479682,1031,,Oceania,1.704,0.922,6.11,0.0003660382479682145
23501,0.8861702965443315,0.9840982134598556,0.8872909974881549,1.0010076340714682,1.7265047538482594,1753,,Asia,1.727,0.959,8.53,0.0004952461517406803
